,loss,model,accs,thresh,,,,,mean diff,Value – mean,,var,std,,s_mean(x),t
78,0.008920153111219,VGG11_XXXS,0.5981,0.999,,,0.0652,,0.01709,0.0023145721,,,,,,
79,0.007574689471722,VGG11_XXXS,0.6633,3,,,0,,0,0,,,,,,
80,0.023037152004242,VGG13,0.1,0.9,,,0.7969,,0.7016,0.00908209,,,,,,
81,0.022752250790596,VGG13,0.1004,0.91,,,0.7965,,0.699655,0.009378954025,,,,,,
82,0.02142665514946,VGG13,0.1024,0.92,,,0.7945,,0.6954,0.00982081,,,,,,
83,0.020395137929916,VGG13,0.1077,0.93,,,0.7892,,0.691975,0.009452700625,,,,,,
84,0.019720693206787,VGG13,0.1144,0.94,,,0.7825,,0.68129,0.0102434641,,,,,,
85,0.016633660268784,VGG13,0.2412,0.95,,,0.6557,,0.663355,5.85990250000012E-05,,,,,,
86,0.010871822702885,VGG13,0.5852,0.96,,,0.3117,,0.617325,0.093406640625,,,,,,
87,0.006752909207344,VGG13,0.7296,0.97,,,0.1673,,0.49026,0.1043031616,,,,,,
88,0.004413023772836,VGG13,0.8165,0.98,,,0.0804,,0.32279,0.0587529121,,,,,,
89,0.002655422048271,VGG13,0.8953,0.99,,,0.0016,,0.145465,0.020697138225,,,,,,
90,0.002711134384573,VGG13,0.8962,0.992,,,0.0007,,0.10781,0.0114725521,,,,,,
91,0.00276531085968,VGG13,0.8942,0.994,,,0.0027,,0.08018,0.0060031504,,,,,,
92,0.002854647028446,VGG13,0.8961,0.996,,,0.0008,,0.04062,0.0015856324,,,,,,
93,0.002885656623542,VGG13,0.8993,0.998,,,-0.0024,,0.01974,0.0004901796,,,,,,
94,0.002970028454065,VGG13,0.9003,0.999,,,-0.0034,,0.01709,0.0004198401,,,,,,
95,0.003021335764229,VGG13,0.8969,3,,,0,,0,0,,,,,,
96,0.03575850982666,VGG13_S,0.0904,0.9,,,0.7949,,0.7016,0.00870489,,,,,,
97,0.034096967840195,VGG13_S,0.0921,0.91,,,0.7932,,0.699655,0.008750667025,,,,,,
98,0.03266875398159,VGG13_S,0.0992,0.92,,,0.7861,,0.6954,0.00822649,,,,,,
99,0.019516213941574,VGG13_S,0.097,0.93,,,0.7883,,0.691975,0.009278505625,,,,,,
100,0.018635465097427,VGG13_S,0.0965,0.94,,,0.7888,,0.68129,0.0115584001,,,,,,
101,0.018213401246071,VGG13_S,0.1023,0.95,,,0.783,,0.663355,0.014314926025,,,,,,
102,0.017167793560028,VGG13_S,0.1802,0.96,,,0.7051,,0.617325,0.007704450625,,,,,,
103,0.009700833463669,VGG13_S,0.6537,0.97,,,0.2316,,0.49026,0.0669049956,,,,,,
104,0.00497986997664,VGG13_S,0.7806,0.98,,,0.1047,,0.32279,0.0475632481,,,,,,
105,0.003533274024725,VGG13_S,0.8453,0.99,,,0.04,,0.145465,0.011122866225,,,,,,
106,0.003239072282612,VGG13_S,0.8642,0.992,,,0.0211,,0.10781,0.0075186241,,,,,,
107,0.003079932783544,VGG13_S,0.8731,0.994,,,0.0122,,0.08018,0.0046212804,,,,,,
108,0.002934537933767,VGG13_S,0.8816,0.996,,,0.0037,,0.04062,0.0013630864,,,,,,
109,0.00281906131953,VGG13_S,0.8879,0.998,,,-0.0026,,0.01974,0.0004990756,,,,,,
110,0.002885001336038,VGG13_S,0.8866,0.999,,,-0.0013,,0.01709,0.0003381921,,,,,,
111,0.002898445984721,VGG13_S,0.8853,3,,,0,,0,0,,,,,,
112,0.024558199048042,VGG13_XS,0.1,0.9,,,0.7453,,0.7016,0.00190969,,,,,,
113,0.024489715456963,VGG13_XS,0.1,0.91,,,0.7453,,0.699655,0.002083466025,,,,,,
114,0.024688893198967,VGG13_XS,0.1,0.92,,,0.7453,,0.6954,0.00249001,,,,,,
115,0.023562647914887,VGG13_XS,0.1,0.93,,,0.7453,,0.691975,0.002843555625,,,,,,
116,0.017749812650681,VGG13_XS,0.1174,0.94,,,0.7279,,0.68129,0.0021724921,,,,,,
117,0.01732671918869,VGG13_XS,0.1646,0.95,,,0.6807,,0.663355,0.000300849025,,,,,,
118,0.015726751494408,VGG13_XS,0.218,0.96,,,0.6273,,0.617325,9.95006250000036E-05,,,,,,
119,0.013633218026161,VGG13_XS,0.4219,0.97,,,0.4234,,0.49026,0.0044702596,,,,,,
120,0.009646330416203,VGG13_XS,0.6051,0.98,,,0.2402,,0.32279,0.0068211081,,,,,,
121,0.005069356665015,VGG13_XS,0.7809,0.99,,,0.0644,,0.145465,0.006571534225,,,,,,
122,0.004549877369404,VGG13_XS,0.8049,0.992,,,0.0404,,0.10781,0.0045441081,,,,,,
123,0.004401798683405,VGG13_XS,0.809,0.994,,,0.0363,,0.08018,0.0019254544,,,,,,
124,0.003999845975637,VGG13_XS,0.8242,0.996,,,0.0211,,0.04062,0.0003810304,,,,,,
125,0.003699582263827,VGG13_XS,0.8425,0.998,,,0.0028,,0.01974,0.0002869636,,,,,,
126,0.003691102360189,VGG13_XS,0.8433,0.999,,,0.002,,0.01709,0.0002277081,,,,,,
127,0.003674292454124,VGG13_XS,0.8453,3,,,0,,0,0,,,,,,
128,0.022237516760826,VGG13_XXS,0.098,0.9,,,0.6938,,0.7016,6.08400000000005E-05,,,,,,
129,0.022013656497002,VGG13_XXS,0.1012,0.91,,,0.6906,,0.699655,8.19930249999966E-05,,,,,,
130,0.021783871030808,VGG13_XXS,0.0962,0.92,,,0.6956,,0.6954,3.99999999999912E-08,,,,,,
131,0.018617783761025,VGG13_XXS,0.1017,0.93,,,0.6901,,0.691975,3.51562499999985E-06,,,,,,
132,0.017637530660629,VGG13_XXS,0.1141,0.94,,,0.6777,,0.68129,1.28880999999991E-05,,,,,,
133,0.017268025374413,VGG13_XXS,0.1366,0.95,,,0.6552,,0.663355,6.65040250000022E-05,,,,,,
134,0.016872529602051,VGG13_XXS,0.1526,0.96,,,0.6392,,0.617325,0.000478515625,,,,,,
135,0.01424475902319,VGG13_XXS,0.2967,0.97,,,0.4951,,0.49026,2.34256000000006E-05,,,,,,
136,0.010843765592575,VGG13_XXS,0.5259,0.98,,,0.2659,,0.32279,0.0032364721,,,,,,
