;loss;model;accs;thresh
92;0.019010799765586853;VGG13;0.1075;0.996
93;0.016592914271354675;VGG13;0.2309;0.998
94;0.007987706607580185;VGG13;0.7984;0.999
95;0.0030213358446955683;VGG13;0.8969;3.0
96;0.022989414978027343;VGG13_S;0.1;0.9
97;0.023143337011337282;VGG13_S;0.1;0.91
98;0.02351765878200531;VGG13_S;0.1;0.92
99;0.023678233885765076;VGG13_S;0.1;0.93
100;0.022608878111839294;VGG13_S;0.1;0.94
101;0.022670236015319825;VGG13_S;0.1;0.95
102;0.022064477252960204;VGG13_S;0.1;0.96
103;0.022075150561332704;VGG13_S;0.1;0.97
104;0.0209346638917923;VGG13_S;0.1;0.98
105;0.019679394125938415;VGG13_S;0.1002;0.99
106;0.020406298756599425;VGG13_S;0.1;0.992
107;0.019068594074249268;VGG13_S;0.187;0.994
108;0.018145117497444154;VGG13_S;0.1435;0.996
109;0.015255832123756408;VGG13_S;0.1781;0.998
110;0.006423765629529953;VGG13_S;0.7767;0.999
111;0.0028984461203217507;VGG13_S;0.8853;3.0
112;0.02277819895744324;VGG13_XS;0.1;0.9
113;0.029928764033317568;VGG13_XS;0.1;0.91
114;0.0286394540309906;VGG13_XS;0.1;0.92
115;0.02725754008293152;VGG13_XS;0.1;0.93
116;0.029808460688591002;VGG13_XS;0.1;0.94
117;0.029314556193351746;VGG13_XS;0.1;0.95
118;0.030447626185417177;VGG13_XS;0.1;0.96
119;0.02240394170284271;VGG13_XS;0.1;0.97
120;0.02756254014968872;VGG13_XS;0.1;0.98
121;0.021741241931915282;VGG13_XS;0.1002;0.99
122;0.02139050962924957;VGG13_XS;0.1036;0.992
123;0.023950459003448485;VGG13_XS;0.1002;0.994
124;0.019326072478294373;VGG13_XS;0.1023;0.996
125;0.015999639642238616;VGG13_XS;0.1714;0.998
126;0.00883838524222374;VGG13_XS;0.5404;0.999
127;0.0036742924243211746;VGG13_XS;0.8453;3.0
128;0.029375287723541258;VGG13_XXS;0.1;0.9
129;0.03370405042171478;VGG13_XXS;0.1;0.91
130;0.03119689929485321;VGG13_XXS;0.1;0.92
131;0.03348777890205383;VGG13_XXS;0.1;0.93
132;0.026688414573669432;VGG13_XXS;0.1;0.94
133;0.03182115259170532;VGG13_XXS;0.0999;0.95
134;0.03389221580028534;VGG13_XXS;0.1;0.96
135;0.029500977396965028;VGG13_XXS;0.1125;0.97
136;0.026782109212875365;VGG13_XXS;0.1716;0.98
137;0.03328170518875122;VGG13_XXS;0.1006;0.99
138;0.02358302628993988;VGG13_XXS;0.1873;0.992
139;0.02443641486167908;VGG13_XXS;0.2437;0.994
