;loss;model;accs;thresh
158;0.008415521496534347;VGG13_XXXS;0.622;0.999
159;0.007548014372587204;VGG13_XXXS;0.66;3.0
160;0.02360958709716797;VGG16;0.1306;0.9
161;0.022855654454231263;VGG16;0.1413;0.91
162;0.020510213780403137;VGG16;0.1751;0.92
163;0.019875314354896544;VGG16;0.1806;0.93
164;0.019490102338790893;VGG16;0.1858;0.94
165;0.019258039832115173;VGG16;0.1878;0.95
166;0.01889245195388794;VGG16;0.1877;0.96
167;0.016051137006282808;VGG16;0.2154;0.97
168;0.010038411045074462;VGG16;0.4616;0.98
169;0.004348911291360855;VGG16;0.8171;0.99
170;0.003333692967891693;VGG16;0.8726;0.992
171;0.0030593705475330355;VGG16;0.8846;0.994
172;0.0027374169647693633;VGG16;0.8927;0.996
173;0.0026896992951631546;VGG16;0.8996;0.998
174;0.0028353961519896986;VGG16;0.8964;0.999
175;0.002919171907007694;VGG16;0.8954;3.0
176;0.025367704343795778;VGG16_S;0.1;0.9
177;0.024854318141937257;VGG16_S;0.1;0.91
178;0.023917143058776857;VGG16_S;0.1;0.92
179;0.023062102580070496;VGG16_S;0.0999;0.93
180;0.022751585412025453;VGG16_S;0.0998;0.94
181;0.021888240671157837;VGG16_S;0.1007;0.95
182;0.02096916046142578;VGG16_S;0.1064;0.96
183;0.01738020578622818;VGG16_S;0.2089;0.97
184;0.009005659598112106;VGG16_S;0.5719;0.98
185;0.003826405116915703;VGG16_S;0.8485;0.99
186;0.003501180464029312;VGG16_S;0.8563;0.992
187;0.0032889438152313233;VGG16_S;0.8615;0.994
188;0.0032362527564167975;VGG16_S;0.8664;0.996
189;0.003334030967950821;VGG16_S;0.8685;0.998
190;0.003314092069864273;VGG16_S;0.8709;0.999
191;0.0033791965410113335;VGG16_S;0.8691;3.0
192;0.017346113872528077;VGG16_XS;0.1639;0.9
193;0.01727416250705719;VGG16_XS;0.1714;0.91
194;0.017133251988887786;VGG16_XS;0.1738;0.92
195;0.016848514235019683;VGG16_XS;0.1913;0.93
196;0.01670107443332672;VGG16_XS;0.1929;0.94
197;0.01599165540933609;VGG16_XS;0.209;0.95
198;0.015738811361789704;VGG16_XS;0.2209;0.96
199;0.015326633656024933;VGG16_XS;0.2379;0.97
200;0.009512326622009277;VGG16_XS;0.6071;0.98
201;0.005782988214492798;VGG16_XS;0.7403;0.99
202;0.005438253021240234;VGG16_XS;0.7575;0.992
203;0.004948894301056862;VGG16_XS;0.7846;0.994
204;0.004480495807528496;VGG16_XS;0.8074;0.996
205;0.003957044500112534;VGG16_XS;0.8372;0.998
206;0.0038656924694776534;VGG16_XS;0.843;0.999
207;0.0038109442234039305;VGG16_XS;0.8425;3.0
208;0.030169397139549255;VGG16_XXS;0.1;0.9
209;0.029833221316337585;VGG16_XXS;0.1;0.91
210;0.029391939187049864;VGG16_XXS;0.1;0.92
211;0.029539199137687683;VGG16_XXS;0.1;0.93
212;0.018082103395462037;VGG16_XXS;0.1432;0.94
213;0.016867769420146943;VGG16_XXS;0.1689;0.95
214;0.016311808598041534;VGG16_XXS;0.1771;0.96
